"","Ensembl_ID","gene_id"
"14743","ENSG00000145283","SLC10A6"
"14744","ENSG00000243312","AC093827.1"
"14745","ENSG00000163633","C4orf36"
"14746","ENSG00000250202","AC093827.2"
"14747","ENSG00000285458","AC093827.5"
"14748","ENSG00000251411","AC093827.3"
"14749","ENSG00000284968","AC093827.4"
"14750","ENSG00000172493","AFF1"
"14751","ENSG00000235043","TECRP1"
"14752","ENSG00000145332","KLHL8"
"14753","ENSG00000248196","AC092658.1"
"14754","ENSG00000248180","GAPDHP60"
"14755","ENSG00000250572","AC108516.1"
"14756","ENSG00000263981","MIR5705"
"14757","ENSG00000170509","HSD17B13"
"14758","ENSG00000255723","AC108516.2"
"14759","ENSG00000198189","HSD17B11"
"14760","ENSG00000240966","RN7SL681P"
"14761","ENSG00000249262","AC112250.1"
"14762","ENSG00000251716","Y_RNA"
"14763","ENSG00000170502","NUDT9"
"14764","ENSG00000272856","AC112250.2"
"14765","ENSG00000152583","SPARCL1"
"14766","ENSG00000249001","AC093895.2"
"14767","ENSG00000152591","DSPP"
"14768","ENSG00000152592","DMP1"
"14769","ENSG00000200024","Y_RNA"
"14770","ENSG00000238652","snoU13"
"14771","ENSG00000249973","CHCHD2P7"
"14772","ENSG00000029559","IBSP"
"14773","ENSG00000152595","MEPE"
"14774","ENSG00000183199","HSP90AB3P"
"14775","ENSG00000286618","AC131944.1"
"14776","ENSG00000118785","SPP1"
"14777","ENSG00000202000","RNU1-36P"
"14778","ENSG00000118762","PKD2"
"14779","ENSG00000118777","ABCG2"
"14780","ENSG00000241853","AC097484.1"
"14781","ENSG00000201707","RNU6-818P"
"14782","ENSG00000221440","RNU6ATAC31P"
"14783","ENSG00000251285","AC097484.2"
"14784","ENSG00000199326","RNU6-1298P"
"14785","ENSG00000163644","PPM1K"
"14786","ENSG00000200469","RNU6-112P"
"14787","ENSG00000246375","PPM1K-DT"
"14788","ENSG00000207480","Y_RNA"
"14789","ENSG00000287181","AC107067.3"
"14790","ENSG00000286978","AC107067.2"
"14791","ENSG00000138642","HERC6"
"14792","ENSG00000138646","HERC5"
"14793","ENSG00000221079","AC083829.1"
"14794","ENSG00000249934","NCOA4P2"
"14795","ENSG00000145337","PYURF"
"14796","ENSG00000255072","PIGY"
"14797","ENSG00000287542","AC098582.1"
"14798","ENSG00000285122","PIGY-DT"
"14799","ENSG00000249755","AC083829.1"
"14800","ENSG00000252322","RN7SKP244"
"14801","ENSG00000138641","HERC3"
"14802","ENSG00000207524","RNU6-33P"
"14803","ENSG00000177432","NAP1L5"
"14804","ENSG00000248019","FAM13A-AS1"
"14805","ENSG00000138640","FAM13A"
"14806","ENSG00000180346","TIGD2"
"14807","ENSG00000270720","AC104785.1"
"14808","ENSG00000212226","RNU6-907P"
"14809","ENSG00000185477","GPRIN3"
"14810","ENSG00000251095","AC093866.1"
"14811","ENSG00000288563","AC097478.4"
"14812","ENSG00000145335","SNCA"
"14813","ENSG00000274238","AC097478.1"
"14814","ENSG00000277695","AC097478.3"
"14815","ENSG00000276542","AC097478.2"
"14816","ENSG00000247775","SNCA-AS1"
"14817","ENSG00000138722","MMRN1"
"14818","ENSG00000287239","AC105445.1"
"14819","ENSG00000184305","CCSER1"
"14820","ENSG00000252087","RN7SKP248"
"14821","ENSG00000251401","AC093729.1"
"14822","ENSG00000187653","TMSB4XP8"
"14823","ENSG00000248984","AC004054.1"
"14824","ENSG00000249049","AC074124.1"
"14825","ENSG00000279013","AC110774.1"
"14826","ENSG00000249891","KRT19P6"
"14827","ENSG00000249052","AC093810.1"
"14828","ENSG00000248817","PMPCAP1"
"14829","ENSG00000287392","AC097520.2"
"14830","ENSG00000280056","AC097520.1"
"14831","ENSG00000249152","LNCPRESS2"
"14832","ENSG00000248511","AC112695.1"
"14833","ENSG00000152208","GRID2"
"14834","ENSG00000251449","MTND1P19"
"14835","ENSG00000249239","AC095059.2"
"14836","ENSG00000248627","AC095059.1"
"14837","ENSG00000248750","AC020699.1"
"14838","ENSG00000250908","AC110800.1"
"14839","ENSG00000252342","RNA5SP164"
"14840","ENSG00000172238","ATOH1"
"14841","ENSG00000246541","AC096746.1"
"14842","ENSG00000250897","HMGB3P15"
"14843","ENSG00000163104","SMARCAD1"
"14844","ENSG00000163106","HPGDS"
"14845","ENSG00000287552","AC109925.2"
"14846","ENSG00000241103","AC109925.1"
"14847","ENSG00000163110","PDLIM5"
"14848","ENSG00000249951","AC108067.1"
"14849","ENSG00000249599","BMPR1B-DT"
"14850","ENSG00000138696","BMPR1B"
"14851","ENSG00000182168","UNC5C"
"14852","ENSG00000271474","AC106881.1"
"14853","ENSG00000242936","RPL30P6"
"14854","ENSG00000163114","PDHA2"
"14855","ENSG00000200622","RNU6-1059P"
"14856","ENSG00000201744","RNU6-34P"
"14857","ENSG00000250655","AC096661.1"
"14858","ENSG00000248510","LINC02267"
"14859","ENSG00000201640","RN7SKP28"
"14860","ENSG00000287841","AC096585.1"
"14861","ENSG00000236764","COX7A2P2"
"14862","ENSG00000253170","AC108515.1"
"14863","ENSG00000163116","STPG2"
"14864","ENSG00000254044","AC034154.1"
"14865","ENSG00000251620","STPG2-AS1"
"14866","ENSG00000271995","AC034154.1"
"14867","ENSG00000250293","CRYZP2"
"14868","ENSG00000242697","RPL5P12"
"14869","ENSG00000214904","DUTP8"
"14870","ENSG00000200658","Y_RNA"
"14871","ENSG00000214559","AC019077.1"
"14872","ENSG00000138698","RAP1GDS1"
"14873","ENSG00000242318","AC058823.1"
"14874","ENSG00000168785","TSPAN5"
"14875","ENSG00000251523","AC108159.1"
"14876","ENSG00000260641","AC114811.2"
"14877","ENSG00000249764","AC114811.1"
"14878","ENSG00000227118","BTF3P13"
"14879","ENSG00000151247","EIF4E"
"14880","ENSG00000249055","TBCAP3"
"14881","ENSG00000263923","AC019131.1"
"14882","ENSG00000238449","AC019131.1"
"14883","ENSG00000214886","FAM177A1P1"
"14884","ENSG00000287512","AC019131.3"
"14885","ENSG00000252548","RNU7-149P"
"14886","ENSG00000251437","NDUFS5P4"
"14887","ENSG00000164024","METAP1"
"14888","ENSG00000265213","MIR3684"
"14889","ENSG00000250496","ABT1P1"
"14890","ENSG00000272777","AC019131.2"
"14891","ENSG00000197894","ADH5"
"14892","ENSG00000246090","AP002026.1"
"14893","ENSG00000198099","ADH4"
"14894","ENSG00000249065","PCNAP1"
"14895","ENSG00000172955","ADH6"
"14896","ENSG00000187758","ADH1A"
"14897","ENSG00000196616","ADH1B"
"14898","ENSG00000248144","ADH1C"
"14899","ENSG00000196344","ADH7"
"14900","ENSG00000250300","AP001960.1"
"14901","ENSG00000138813","C4orf17"
"14902","ENSG00000145331","TRMT10A"
"14903","ENSG00000138823","MTTP"
"14904","ENSG00000248676","AC083902.1"
"14905","ENSG00000248713","C4orf54"
"14906","ENSG00000070190","DAPP1"
"14907","ENSG00000279913","AP001962.1"
"14908","ENSG00000109270","LAMTOR3"
"14909","ENSG00000164031","DNAJB14"
"14910","ENSG00000279098","AC097460.2"
"14911","ENSG00000164032","H2AZ1"
"14912","ENSG00000245322","H2AZ1-DT"
"14913","ENSG00000250403","AC097460.1"
"14914","ENSG00000248820","DYNLL1P6"
"14915","ENSG00000222196","AC121157.1"
"14916","ENSG00000145358","DDIT4L"
"14917","ENSG00000249710","AP001961.1"
"14918","ENSG00000164035","EMCN"
"14919","ENSG00000286150","AC097459.1"
"14920","ENSG00000250223","LINC01216"
"14921","ENSG00000251219","LINC01217"
"14922","ENSG00000251636","LINC01218"
"14923","ENSG00000138814","PPP3CA"
"14924","ENSG00000221265","MIR1255A"
"14925","ENSG00000254531","AP001816.1"
"14926","ENSG00000153064","BANK1"
"14927","ENSG00000286124","AC084277.1"
"14928","ENSG00000199529","RNU6-462P"
"14929","ENSG00000251149","MTND5P5"
"14930","ENSG00000251309","AP002075.1"
"14931","ENSG00000138821","SLC39A8"
"14932","ENSG00000241144","RN7SL728P"
"14933","ENSG00000248161","AC098487.1"
"14934","ENSG00000251572","AF213884.2"
"14935","ENSG00000260651","AF213884.3"
"14936","ENSG00000109320","NFKB1"
"14937","ENSG00000238553","AF213884.3"
"14938","ENSG00000109323","MANBA"
"14939","ENSG00000241981","AF213884.1"
"14940","ENSG00000230069","LRRC37A15P"
"14941","ENSG00000248971","KRT8P46"
"14942","ENSG00000224207","AC018797.1"
"14943","ENSG00000251288","AC018797.2"
"14944","ENSG00000109332","UBE2D3"
"14945","ENSG00000286242","AC018797.3"
"14946","ENSG00000246560","UBE2D3-AS1"
"14947","ENSG00000252739","RNU7-151P"
"14948","ENSG00000238948","snoU13"
"14949","ENSG00000145354","CISD2"
"14950","ENSG00000164037","SLC9B1"
"14951","ENSG00000250651","PABPC1P7"
"14952","ENSG00000249283","ACTR3BP4"
"14953","ENSG00000164038","SLC9B2"
"14954","ENSG00000164039","BDH2"
"14955","ENSG00000138778","CENPE"
"14956","ENSG00000248740","LINC02428"
"14957","ENSG00000251577","AC105460.2"
"14958","ENSG00000250920","AC105460.1"
"14959","ENSG00000251571","DDX3P3"
"14960","ENSG00000169836","TACR3"
"14961","ENSG00000286291","AC004047.1"
"14962","ENSG00000252460","RNU6-635P"
"14963","ENSG00000249614","LINC02503"
"14964","ENSG00000251170","AC004052.1"
"14965","ENSG00000215999","AC004052.1"
"14966","ENSG00000168772","CXXC4"
"14967","ENSG00000245384","CXXC4-AS1"
"14968","ENSG00000272082","AC093628.1"
"14969","ENSG00000250670","AC004063.1"
"14970","ENSG00000248242","AC004053.1"
"14971","ENSG00000244470","AC105918.1"
"14972","ENSG00000248373","AC096577.1"
"14973","ENSG00000251906","RNU6-351P"
"14974","ENSG00000276992","AC096577.2"
"14975","ENSG00000251473","AC004069.2"
"14976","ENSG00000252136","SNORA31"
"14977","ENSG00000251259","AC004069.1"
"14978","ENSG00000168769","TET2"
"14979","ENSG00000251586","TET2-AS1"
"14980","ENSG00000243383","RN7SL89P"
"14981","ENSG00000138777","PPA2"
"14982","ENSG00000200917","RNU6-553P"
"14983","ENSG00000249264","EEF1A1P9"
"14984","ENSG00000216425","AC004066.1"
"14985","ENSG00000250922","ATP5F1EP1"
"14986","ENSG00000250522","AC004066.2"
"14987","ENSG00000236699","ARHGEF38"
"14988","ENSG00000249885","ARHGEF38-IT1"
"14989","ENSG00000248778","AC105391.1"
"14990","ENSG00000138785","INTS12"
"14991","ENSG00000138780","GSTCD"
"14992","ENSG00000251175","GSTCD-AS1"
"14993","ENSG00000168743","NPNT"
"14994","ENSG00000250740","AC109361.2"
"14995","ENSG00000249635","AC109361.1"
"14996","ENSG00000145348","TBCK"
"14997","ENSG00000164022","AIMP1"
"14998","ENSG00000250298","GIMD1"
"14999","ENSG00000222333","AC093680.1"
"15000","ENSG00000249613","LINC02173"
"15001","ENSG00000286147","AC092445.1"
"15002","ENSG00000248915","ACTR6P1"
"15003","ENSG00000155011","DKK2"
"15004","ENSG00000252566","SNORD112"
"15005","ENSG00000213522","RAC1P5"
"15006","ENSG00000251081","AC104663.1"
"15007","ENSG00000252470","RNU6-551P"
"15008","ENSG00000138801","PAPSS1"
"15009","ENSG00000164023","SGMS2"
"15010","ENSG00000245293","AC096564.1"
"15011","ENSG00000222691","RNU6-733P"
"15012","ENSG00000155016","CYP2U1"
"15013","ENSG00000249604","AC096564.2"
"15014","ENSG00000138796","HADH"
"15015","ENSG00000138795","LEF1"
"15016","ENSG00000232021","LEF1-AS1"
"15017","ENSG00000239939","RPSAP34"
"15018","ENSG00000278589","ZACNP1"
"15019","ENSG00000250485","EXOC7P1"
"15020","ENSG00000234492","RPL34-AS1"
"15021","ENSG00000266046","AC084209.1"
"15022","ENSG00000109475","RPL34"
"15023","ENSG00000198856","OSTC"
"15024","ENSG00000206601","RNU6-431P"
"15025","ENSG00000286136","AC107071.1"
"15026","ENSG00000164089","ETNPPL"
"15027","ENSG00000249257","AC097473.1"
"15028","ENSG00000250185","RCC2P8"
"15029","ENSG00000265522","AC097473.1"
"15030","ENSG00000188517","COL25A1"
"15031","ENSG00000246774","COL25A1-DT"
"15032","ENSG00000249465","RBMXP4"
"15033","ENSG00000247950","SEC24B-AS1"
"15034","ENSG00000138802","SEC24B"
"15035","ENSG00000243227","RN7SL55P"
"15036","ENSG00000207988","MIR576"
"15037","ENSG00000225094","SETP20"
"15038","ENSG00000249965","CDC42P4"
"15039","ENSG00000005059","MCUB"
"15040","ENSG00000248785","HIGD1AP14"
"15041","ENSG00000138794","CASP6"
"15042","ENSG00000273447","AC004067.1"
"15043","ENSG00000123739","PLA2G12A"
"15044","ENSG00000285330","AC126283.2"
"15045","ENSG00000205403","CFI"
"15046","ENSG00000272795","AC126283.1"
"15047","ENSG00000109534","GAR1"
"15048","ENSG00000180245","RRH"
"15049","ENSG00000183423","LRIT3"
"15050","ENSG00000249681","KRT19P3"
"15051","ENSG00000138798","EGF"
"15052","ENSG00000207260","RNU6-35P"
"15053","ENSG00000170522","ELOVL6"
"15054","ENSG00000263940","RN7SL275P"
"15055","ENSG00000248200","AC093770.1"
"15056","ENSG00000166530","HSBP1P2"
"15057","ENSG00000250594","AC108145.1"
"15058","ENSG00000212160","RNU6-205P"
"15059","ENSG00000250304","ZBED1P1"
"15060","ENSG00000138792","ENPEP"
"15061","ENSG00000251464","RPL7L1P13"
"15062","ENSG00000251046","ZNF969P"
"15063","ENSG00000199894","snoU2_19"
"15064","ENSG00000250511","AC098798.1"
"15065","ENSG00000250103","PANCR"
"15066","ENSG00000164093","PITX2"
"15067","ENSG00000249519","LINC01438"
"15068","ENSG00000251808","AC024198.1"
"15069","ENSG00000215961","MIR297"
"15070","ENSG00000251483","LYPLA1P2"
"15071","ENSG00000251312","AC004062.1"
"15072","ENSG00000200963","RNU6-289P"
"15073","ENSG00000241722","AC083795.1"
"15074","ENSG00000248656","AC083795.2"
"15075","ENSG00000250855","AC139718.2"
"15076","ENSG00000248432","AC139718.1"
"15077","ENSG00000249815","AC004704.1"
"15078","ENSG00000250556","CCDC34P1"
"15079","ENSG00000250307","TUBB8P3"
"15080","ENSG00000240459","AC093663.1"
"15081","ENSG00000174749","FAM241A"
"15082","ENSG00000243280","AC093663.2"
"15083","ENSG00000260526","AC109347.1"
"15084","ENSG00000138660","AP1AR"
"15085","ENSG00000272567","AC109347.2"
"15086","ENSG00000222306","Y_RNA"
"15087","ENSG00000145365","TIFA"
"15088","ENSG00000073331","ALPK1"
"15089","ENSG00000251441","RTEL1P1"
"15090","ENSG00000248697","TOX4P1"
"15091","ENSG00000178403","NEUROG2"
"15092","ENSG00000249509","NEUROG2-AS1"
"15093","ENSG00000248439","RPL23AP94"
"15094","ENSG00000138658","ZGRF1"
"15095","ENSG00000250966","H3P14"
"15096","ENSG00000174720","LARP7"
"15097","ENSG00000249532","MIR302CHG"
"15098","ENSG00000199169","MIR367"
"15099","ENSG00000199145","MIR302D"
"15100","ENSG00000207927","MIR302A"
"15101","ENSG00000199102","MIR302C"
"15102","ENSG00000220924","OSTCP4"
"15103","ENSG00000250046","AC106864.1"
"15104","ENSG00000248633","WRBP1"
"15105","ENSG00000241002","AC017007.4"
"15106","ENSG00000202536","Y_RNA"
"15107","ENSG00000241741","RPL7AP30"
"15108","ENSG00000250500","AC017007.5"
"15109","ENSG00000145362","ANK2"
"15110","ENSG00000234841","AC017007.3"
"15111","ENSG00000251126","AC017007.6"
"15112","ENSG00000228814","AC017007.2"
"15113","ENSG00000248152","ANK2-AS1"
"15114","ENSG00000249373","AC093879.1"
"15115","ENSG00000196656","AC004057.1"
"15116","ENSG00000239279","RN7SL184P"
"15117","ENSG00000206820","RNU1-138P"
"15118","ENSG00000145349","CAMK2D"
"15119","ENSG00000250229","AC111193.1"
"15120","ENSG00000180801","ARSJ"
"15121","ENSG00000249304","AC104779.1"
"15122","ENSG00000248716","AC093815.1"
"15123","ENSG00000174607","UGT8"
"15124","ENSG00000207931","MIR577"
"15125","ENSG00000250215","CIR1P2"
"15126","ENSG00000240637","RN7SL808P"
"15127","ENSG00000138653","NDST4"
"15128","ENSG00000251308","MRPS33P3"
"15129","ENSG00000250693","RPF2P2"
"15130","ENSG00000248488","PGAM4P2"
"15131","ENSG00000250363","KRT18P21"
"15132","ENSG00000249259","AC027613.1"
"15133","ENSG00000250442","EIF3KP3"
"15134","ENSG00000250627","TTC39CP1"
"15135","ENSG00000270394","MTRNR2L13"
"15136","ENSG00000250272","TRMT112P1"
"15137","ENSG00000248139","CUL4AP1"
"15138","ENSG00000250791","AC106892.1"
"15139","ENSG00000213493","ACTN4P1"
"15140","ENSG00000287845","AC093765.5"
"15141","ENSG00000287520","AC093765.4"
"15142","ENSG00000287290","AC093765.3"
"15143","ENSG00000286637","AC093765.2"
"15144","ENSG00000201752","RNU6-119P"
"15145","ENSG00000271053","AC093765.1"
"15146","ENSG00000174599","TRAM1L1"
"15147","ENSG00000223605","AC107399.1"
"15148","ENSG00000224932","LINC02262"
"15149","ENSG00000228358","LINC02263"
"15150","ENSG00000236922","LINC01378"
"15151","ENSG00000237684","RPSAP35"
"15152","ENSG00000213492","NT5C3AP1"
"15153","ENSG00000286269","AC092661.1"
"15154","ENSG00000229565","LINC02264"
"15155","ENSG00000164100","NDST3"
"15156","ENSG00000251463","FKBP4P1"
"15157","ENSG00000269893","SNHG8"
"15158","ENSG00000164099","PRSS12"
"15159","ENSG00000230671","NDUFS5P5"
"15160","ENSG00000273716","AC092670.1"
"15161","ENSG00000154608","CEP170P1"
"15162","ENSG00000260404","AC110079.1"
"15163","ENSG00000223225","RNU6-1054P"
"15164","ENSG00000248213","CICP16"
"15165","ENSG00000251155","SEPTIN14P4"
"15166","ENSG00000281731","METTL14-DT"
"15167","ENSG00000145388","METTL14"
"15168","ENSG00000150961","SEC24D"
"15169","ENSG00000172403","SYNPO2"
"15170","ENSG00000249002","AC096745.1"
"15171","ENSG00000172399","MYOZ2"
"15172","ENSG00000178636","AC092656.1"
"15173","ENSG00000145390","USP53"
"15174","ENSG00000164096","C4orf3"
"15175","ENSG00000145384","FABP2"
"15176","ENSG00000250412","KLHL2P1"
"15177","ENSG00000201186","RNU4-33P"
"15178","ENSG00000249244","AC110373.1"
"15179","ENSG00000283050","GTF2IP12"
"15180","ENSG00000260091","AC093752.3"
"15181","ENSG00000223208","RNU6-1217P"
"15182","ENSG00000245958","AC093752.1"
"15183","ENSG00000250950","AC093752.2"
"15184","ENSG00000138735","PDE5A"
"15185","ENSG00000221245","SNORA11"
"15186","ENSG00000286241","AC080089.2"
"15187","ENSG00000250772","LINC01365"
"15188","ENSG00000250183","AC097173.2"
"15189","ENSG00000250392","LINC02502"
"15190","ENSG00000200553","Y_RNA"
"15191","ENSG00000253825","AC097173.3"
"15192","ENSG00000164109","MAD2L1"
"15193","ENSG00000250938","AC073475.1"
"15194","ENSG00000250219","LTV1P1"
"15195","ENSG00000225665","SAR1AP3"
"15196","ENSG00000249409","AC025741.1"
"15197","ENSG00000138738","PRDM5"
"15198","ENSG00000212359","RNU6-550P"
"15199","ENSG00000251609","SETP12"
"15200","ENSG00000173376","NDNF"
"15201","ENSG00000223006","RN7SKP137"
"15202","ENSG00000250344","AC105254.1"
"15203","ENSG00000271302","AC105254.2"
"15204","ENSG00000050730","TNIP3"
"15205","ENSG00000252183","RNU6-948P"
"15206","ENSG00000186867","QRFPR"
"15207","ENSG00000207148","Y_RNA"
"15208","ENSG00000213480","AC093816.1"
"15209","ENSG00000264927","AC093816.1"
"15210","ENSG00000224062","TUBB4BP5"
"15211","ENSG00000164111","ANXA5"
"15212","ENSG00000164112","TMEM155"
"15213","ENSG00000226757","AC079341.1"
"15214","ENSG00000123737","EXOSC9"
"15215","ENSG00000145386","CCNA2"
"15216","ENSG00000138686","BBS7"
"15217","ENSG00000261501","AC079341.2"
"15218","ENSG00000138741","TRPC3"
"15219","ENSG00000237868","AC097533.1"
"15220","ENSG00000241037","RN7SL335P"
"15221","ENSG00000138688","KIAA1109"
"15222","ENSG00000164113","ADAD1"
"15223","ENSG00000109471","IL2"
"15224","ENSG00000138684","IL21"
"15225","ENSG00000227145","IL21-AS1"
"15226","ENSG00000287692","AC053545.1"
"15227","ENSG00000224786","CETN4P"
"15228","ENSG00000181004","BBS12"
"15229","ENSG00000244083","AC021205.2"
"15230","ENSG00000138685","FGF2"
"15231","ENSG00000253069","AC021205.1"
"15232","ENSG00000240775","AC021205.1"
"15233","ENSG00000273007","AC021205.3"
"15234","ENSG00000170917","NUDT6"
"15235","ENSG00000145375","SPATA5"
"15236","ENSG00000216154","AC109357.1"
"15237","ENSG00000250322","AC026402.1"
"15238","ENSG00000287951","AC026402.2"
"15239","ENSG00000164056","SPRY1"
"15240","ENSG00000249125","AC093821.1"
"15241","ENSG00000251526","LINC02435"
"15242","ENSG00000249464","LINC01091"
"15243","ENSG00000226655","AC096732.1"
"15244","ENSG00000228489","RPL21P50"
"15245","ENSG00000250458","AC093767.1"
"15246","ENSG00000286700","AC108075.1"
"15247","ENSG00000250484","PPIAP76"
"15248","ENSG00000249837","AC121154.1"
"15249","ENSG00000286734","AC133530.1"
"15250","ENSG00000248506","AC097474.1"
"15251","ENSG00000248565","TECRP2"
"15252","ENSG00000261083","LINC02516"
"15253","ENSG00000151458","ANKRD50"
"15254","ENSG00000196159","FAT4"
"15255","ENSG00000201297","Y_RNA"
"15256","ENSG00000250149","AC104664.1"
"15257","ENSG00000251436","NUP58P1"
"15258","ENSG00000249555","TMEM248P1"
"15259","ENSG00000251649","LINC02379"
"15260","ENSG00000251005","H3P15"
"15261","ENSG00000286251","AC097528.1"
"15262","ENSG00000223620","RBM48P1"
"15263","ENSG00000199862","Y_RNA"
"15264","ENSG00000250945","AC096773.1"
"15265","ENSG00000248491","AC093772.1"
"15266","ENSG00000287101","AC093772.2"
"15267","ENSG00000248209","AC097462.1"
"15268","ENSG00000249795","AC097462.2"
"15269","ENSG00000287021","AC097462.3"
"15270","ENSG00000164066","INTU"
"15271","ENSG00000151475","SLC25A31"
"15272","ENSG00000164070","HSPA4L"
"15273","ENSG00000282855","AC093591.3"
"15274","ENSG00000244021","AC093591.1"
"15275","ENSG00000261668","AC093591.2"
"15276","ENSG00000142731","PLK4"
"15277","ENSG00000251821","RNU6-583P"
"15278","ENSG00000164073","MFSD8"
"15279","ENSG00000164074","ABHD18"
"15280","ENSG00000138709","LARP1B"
"15281","ENSG00000241651","AC099340.1"
"15282","ENSG00000248394","FOSL1P1"
"15283","ENSG00000164040","PGRMC2"
"15284","ENSG00000251432","LINC02615"
"15285","ENSG00000273077","AC110609.1"
"15286","ENSG00000248187","AC078850.1"
"15287","ENSG00000248802","AC078850.2"
"15288","ENSG00000238802","snoU13"
"15289","ENSG00000280711","JADRR"
"15290","ENSG00000077684","JADE1"
"15291","ENSG00000151466","SCLT1"
"15292","ENSG00000275647","AC093783.1"
"15293","ENSG00000151470","C4orf33"
"15294","ENSG00000251345","AC093826.1"
"15295","ENSG00000248958","ZSWIM5P3"
"15296","ENSG00000251195","AC105417.1"
"15297","ENSG00000250193","AC082650.1"
"15298","ENSG00000287748","AC082650.2"
"15299","ENSG00000246876","LINC02466"
"15300","ENSG00000249618","LINC02465"
"15301","ENSG00000222861","RNY5P4"
"15302","ENSG00000234125","EEF1GP8"
"15303","ENSG00000251326","LINC02479"
"15304","ENSG00000248877","PGBD4P4"
"15305","ENSG00000249018","GAPDHP56"
"15306","ENSG00000280059","AC093831.2"
"15307","ENSG00000250503","AC093831.1"
"15308","ENSG00000287924","AC093902.1"
"15309","ENSG00000250213","AC025554.1"
"15310","ENSG00000206782","RNU6-224P"
"15311","ENSG00000250102","LINC02377"
"15312","ENSG00000248715","AC105424.1"
"15313","ENSG00000241392","RN7SL205P"
"15314","ENSG00000251676","SNHG27"
"15315","ENSG00000252014","SNORA70"
"15316","ENSG00000249416","AC107393.1"
"15317","ENSG00000184139","RPL7AP28"
"15318","ENSG00000251555","AC096711.2"
"15319","ENSG00000251598","AC093916.1"
"15320","ENSG00000249463","AC096711.1"
"15321","ENSG00000251051","ELL2P2"
"15322","ENSG00000248369","AC114741.1"
"15323","ENSG00000251398","LINC01256"
"15324","ENSG00000249038","AARS1P1"
"15325","ENSG00000251488","AC115622.1"
"15326","ENSG00000249513","AC110751.1"
"15327","ENSG00000250241","AC105383.1"
"15328","ENSG00000248735","R3HDM2P1"
"15329","ENSG00000138650","PCDH10"
"15330","ENSG00000286467","AC108052.1"
"15331","ENSG00000221637","AC105252.1"
"15332","ENSG00000250191","AC105252.1"
"15333","ENSG00000251388","AC079380.1"
"15334","ENSG00000251199","AC015631.1"
"15335","ENSG00000266277","AC096763.1"
"15336","ENSG00000286253","AC096763.1"
"15337","ENSG00000254535","PABPC4L"
"15338","ENSG00000248191","PES1P1"
"15339","ENSG00000251291","LINC02462"
"15340","ENSG00000249000","AC093722.1"
"15341","ENSG00000249847","AC104619.2"
"15342","ENSG00000251228","AC104619.4"
"15343","ENSG00000241411","AC104619.1"
"15344","ENSG00000250144","AC104619.3"
"15345","ENSG00000248434","AC107463.1"
"15346","ENSG00000248456","LINC02485"
"15347","ENSG00000207188","RNU6-569P"
"15348","ENSG00000250834","KRT18P54"
"15349","ENSG00000207849","AC108867.1"
"15350","ENSG00000248104","TARS2P1"
"15351","ENSG00000250865","AC105362.1"
"15352","ENSG00000248330","LINC00613"
"15353","ENSG00000207322","RNU1-89P"
"15354","ENSG00000251492","AC104136.1"
"15355","ENSG00000261166","AC073429.2"
"15356","ENSG00000251567","AC018680.1"
"15357","ENSG00000250665","AC073429.1"
"15358","ENSG00000249311","TERF1P3"
"15359","ENSG00000279749","AC093875.1"
"15360","ENSG00000264362","AC093875.1"
"15361","ENSG00000248869","LINC02511"
"15362","ENSG00000250341","LINC02510"
"15363","ENSG00000222526","AC060835.1"
"15364","ENSG00000250813","SERF1AP1"
"15365","ENSG00000251440","STMN1P2"
"15366","ENSG00000213448","RPS23P2"
"15367","ENSG00000189184","PCDH18"
"15368","ENSG00000251632","LINC02172"
"15369","ENSG00000280352","AC116563.2"
"15370","ENSG00000250126","AC116563.1"
"15371","ENSG00000250777","AC131956.2"
"15372","ENSG00000287441","AC131956.3"
"15373","ENSG00000250034","AC131956.1"
"15374","ENSG00000287144","AC097511.1"
"15375","ENSG00000248307","LINC00616"
"15376","ENSG00000250033","SLC7A11-AS1"
"15377","ENSG00000151012","SLC7A11"
"15378","ENSG00000249091","AC093903.1"
"15379","ENSG00000248397","LINC00498"
"15380","ENSG00000251372","LINC00499"
"15381","ENSG00000249381","LINC00500"
"15382","ENSG00000248305","AC105416.1"
"15383","ENSG00000248795","AC098859.1"
"15384","ENSG00000250977","AC098859.2"
"15385","ENSG00000250501","AC093766.1"
"15386","ENSG00000238971","AC093766.1"
"15387","ENSG00000250195","AC109927.1"
"15388","ENSG00000250577","AC109927.2"
"15389","ENSG00000151014","NOCT"
"15390","ENSG00000264953","AC093602.1"
"15391","ENSG00000109381","ELF2"
"15392","ENSG00000252503","RNU6-531P"
"15393","ENSG00000240723","RN7SL382P"
"15394","ENSG00000179967","PPP1R14BP3"
"15395","ENSG00000265892","RN7SL311P"
"15396","ENSG00000207384","Y_RNA"
"15397","ENSG00000252362","RNU6-506P"
"15398","ENSG00000206722","RNU6-1074P"
"15399","ENSG00000137463","MGARP"
"15400","ENSG00000109390","NDUFC1"
"15401","ENSG00000164134","NAA15"
"15402","ENSG00000200520","RNU6-1214P"
"15403","ENSG00000273247","AC097376.3"
"15404","ENSG00000248863","AC097376.2"
"15405","ENSG00000239005","ACA64"
"15406","ENSG00000172007","RAB33B"
"15407","ENSG00000145391","SETD7"
"15408","ENSG00000249302","FTH1P24"
"15409","ENSG00000272717","AC112236.2"
"15410","ENSG00000286896","AC112236.3"
"15411","ENSG00000261268","AC112236.1"
