"","Ensembl_ID","gene_id"
"162","ENSG00000238164","TNFRSF14-AS1"
"163","ENSG00000157873","TNFRSF14"
"164","ENSG00000225931","AL139246.2"
"165","ENSG00000228037","AL139246.3"
"166","ENSG00000157870","PRXL2B"
"167","ENSG00000142606","MMEL1"
"168","ENSG00000237058","MMEL1-AS1"
"169","ENSG00000215912","TTC34"
"170","ENSG00000285945","AC242022.2"
"171","ENSG00000283259","AC242022.1"
"172","ENSG00000233234","AL592464.2"
"173","ENSG00000287396","AL592464.3"
"174","ENSG00000231630","AL592464.1"
"175","ENSG00000284745","AL589702.1"
"176","ENSG00000169717","ACTRT2"
"177","ENSG00000177133","PRDM16-DT"
"178","ENSG00000142611","PRDM16"
"179","ENSG00000226286","AL008733.1"
"180","ENSG00000279839","AL512383.1"
"181","ENSG00000272235","AL590438.1"
"182","ENSG00000287828","AL354743.2"
"183","ENSG00000286518","AL354743.1"
"184","ENSG00000130762","ARHGEF16"
"185","ENSG00000272088","AL512413.1"
"186","ENSG00000162591","MEGF6"
"187","ENSG00000207776","MIR551A"
"188","ENSG00000238260","AL513320.1"
"189","ENSG00000158109","TPRG1L"
"190","ENSG00000116213","WRAP73"
"191","ENSG00000078900","TP73"
"192","ENSG00000227589","AL136528.1"
"193","ENSG00000235131","AL136528.2"
"194","ENSG00000227372","TP73-AS1"
"195","ENSG00000162592","CCDC27"
"196","ENSG00000235169","SMIM1"
"197","ENSG00000130764","LRRC47"
"198","ENSG00000266075","RN7SL574P"
"199","ENSG00000272153","AL365330.1"
"200","ENSG00000116198","CEP104"
"201","ENSG00000169598","DFFB"
"202","ENSG00000264428","AL691523.1"
"203","ENSG00000198912","C1orf174"
"204","ENSG00000236423","LINC01134"
"205","ENSG00000233304","LINC01346"
"206","ENSG00000226374","LINC01345"
"207","ENSG00000284668","LINC02780"
"208","ENSG00000284703","AL805961.1"
"209","ENSG00000229280","EEF1DP6"
"210","ENSG00000235054","LINC01777"
"211","ENSG00000284694","AL355602.1"
