"","filesName","TCGA_Barcode"
"2ef45476-2bea-4b74-9d97-a33898386d5e.htseq.counts.gz","2ef45476-2bea-4b74-9d97-a33898386d5e.htseq.counts.gz","TCGA-53-7813-01A-11R-2170-07"
"38546283-9872-45fd-b15d-c8b35c538264.htseq.counts.gz","38546283-9872-45fd-b15d-c8b35c538264.htseq.counts.gz","TCGA-55-8092-01A-11R-2241-07"
"d2bcb67d-17a5-476b-b35f-cf64f0eea72f.htseq.counts.gz","d2bcb67d-17a5-476b-b35f-cf64f0eea72f.htseq.counts.gz","TCGA-91-8497-01A-11R-2403-07"
"1916f968-78bb-4ac4-8ddf-0585132076a9.htseq.counts.gz","1916f968-78bb-4ac4-8ddf-0585132076a9.htseq.counts.gz","TCGA-50-5941-01A-11R-1755-07"
"f8d249c9-6792-47a0-a553-607ca1c76436.htseq.counts.gz","f8d249c9-6792-47a0-a553-607ca1c76436.htseq.counts.gz","TCGA-44-2668-01A-01R-0946-07"
"48c0be10-df66-4589-a91c-16e49398df71.htseq.counts.gz","48c0be10-df66-4589-a91c-16e49398df71.htseq.counts.gz","TCGA-97-A4M0-01A-11R-A24X-07"
"29326e2f-eab7-445d-93e7-9290731745e7.htseq.counts.gz","29326e2f-eab7-445d-93e7-9290731745e7.htseq.counts.gz","TCGA-55-8505-01A-11R-2403-07"
"447f0731-1dfc-4c5e-9641-43e2d0a2af43.htseq.counts.gz","447f0731-1dfc-4c5e-9641-43e2d0a2af43.htseq.counts.gz","TCGA-50-8460-01A-11R-2326-07"
"fdeae242-eff2-405a-bf00-1af2a6987479.htseq.counts.gz","fdeae242-eff2-405a-bf00-1af2a6987479.htseq.counts.gz","TCGA-73-4676-11A-01R-1755-07"
"7a490321-6070-4c3e-827f-2cecef3fc499.htseq.counts.gz","7a490321-6070-4c3e-827f-2cecef3fc499.htseq.counts.gz","TCGA-95-A4VN-01A-11R-A262-07"
"8eb179a6-a0af-4628-aae2-78800db3e9d8.htseq.counts.gz","8eb179a6-a0af-4628-aae2-78800db3e9d8.htseq.counts.gz","TCGA-L9-A8F4-01A-11R-A39D-07"
"ae3d90f2-e69b-4711-8e09-368c732cdc23.htseq.counts.gz","ae3d90f2-e69b-4711-8e09-368c732cdc23.htseq.counts.gz","TCGA-38-4632-01A-01R-1755-07"
"71dc5938-5e78-4d58-b218-e9f6eb6b0675.htseq.counts.gz","71dc5938-5e78-4d58-b218-e9f6eb6b0675.htseq.counts.gz","TCGA-50-5066-02A-11R-2090-07"
"220a9619-e17e-4529-bf80-9b99dbd49d21.htseq.counts.gz","220a9619-e17e-4529-bf80-9b99dbd49d21.htseq.counts.gz","TCGA-97-8547-01A-11R-2403-07"
"d179f9d5-0b8c-459e-9f47-271b25887c3c.htseq.counts.gz","d179f9d5-0b8c-459e-9f47-271b25887c3c.htseq.counts.gz","TCGA-49-6761-11A-01R-1949-07"
"2ddecb96-a7f4-4d9f-b6be-09685425275a.htseq.counts.gz","2ddecb96-a7f4-4d9f-b6be-09685425275a.htseq.counts.gz","TCGA-44-2666-01B-02R-A277-07"
"2133df71-b9a1-4b99-8eb7-0b7f9a1b5cc2.htseq.counts.gz","2133df71-b9a1-4b99-8eb7-0b7f9a1b5cc2.htseq.counts.gz","TCGA-73-7499-01A-11R-2187-07"
"5da55f22-6bc2-4c07-88f1-6516db69deb3.htseq.counts.gz","5da55f22-6bc2-4c07-88f1-6516db69deb3.htseq.counts.gz","TCGA-55-6981-11A-01R-1949-07"
"a28e1869-665e-43a9-8b05-ee0841b672df.htseq.counts.gz","a28e1869-665e-43a9-8b05-ee0841b672df.htseq.counts.gz","TCGA-69-8253-01A-11R-2287-07"
"be6f5b47-f164-4947-9b35-02f94248e462.htseq.counts.gz","be6f5b47-f164-4947-9b35-02f94248e462.htseq.counts.gz","TCGA-78-7167-01A-11R-2066-07"
